 	Label	Area	Mean	Min	Max
1	SNF117Lb_labelled.tif	4.514E-5	170.554	161	178
2	SNF117Lb_labelled.tif	1.806E-5	175.077	170	182
3	SNF117Lb_labelled.tif	0.000	NaN	255	0
4	SNF117Lb_labelled.tif	2.847E-5	182.220	175	188
5	SNF117Lb_labelled.tif	9.028E-6	178.231	173	184
6	SNF117Lb_labelled.tif	1.944E-5	174.000	168	181
7	SNF117Lb_labelled.tif	4.028E-5	180.483	169	188
8	SNF117Lb_labelled.tif	5.556E-5	172.662	164	184
9	SNF117Lb_labelled.tif	0.000	NaN	255	0
10	SNF117Lb_labelled.tif	0.000	NaN	255	0
11	SNF117Lb_labelled.tif	4.792E-5	189.406	182	200
12	SNF117Lb_labelled.tif	1.389E-5	186.450	181	192
13	SNF117Lb_labelled.tif	0.000	NaN	255	0
14	SNF117Lb_labelled.tif	2.431E-5	170.114	156	180
15	SNF117Lb_labelled.tif	0.000	NaN	255	0
16	SNF117Lb_labelled.tif	2.014E-5	188.172	180	198
17	SNF117Lb_labelled.tif	2.708E-5	184.205	177	191
18	SNF117Lb_labelled.tif	2.153E-5	177.645	168	187
19	SNF117Lb_labelled.tif	1.111E-5	174.188	169	178
20	SNF117Lb_labelled.tif	3.056E-5	162.455	157	171
21	SNF117Lb_labelled.tif	1.528E-5	190.000	184	198
22	SNF117Lb_labelled.tif	1.667E-5	168.750	163	181
23	SNF117Lb_labelled.tif	0.000	NaN	255	0
24	SNF117Lb_labelled.tif	0.000	NaN	255	0
25	SNF117Lb_labelled.tif	1.528E-5	179.909	174	185
26	SNF117Lb_labelled.tif	0.000	NaN	255	0
27	SNF117Lb_labelled.tif	3.681E-5	140.283	107	163
28	SNF117Lb_labelled.tif	3.056E-5	174.227	156	183
29	SNF117Lb_labelled.tif	0.000	NaN	255	0
30	SNF117Lb_labelled.tif	4.444E-5	166.609	155	180
31	SNF117Lb_labelled.tif	1.250E-5	179.222	176	183
32	SNF117Lb_labelled.tif	1.250E-5	180.556	177	184
33	SNF117Lb_labelled.tif	2.569E-5	175.973	170	182
34	SNF117Lb_labelled.tif	2.361E-5	92.794	83	102
35	SNF117Lb_labelled.tif	0.000	NaN	255	0
36	SNF117Lb_labelled.tif	0.000	NaN	255	0
37	SNF117Lb_labelled.tif	2.500E-5	187.528	177	197
38	SNF117Lb_labelled.tif	2.083E-5	182.967	169	194
39	SNF117Lb_labelled.tif	9.722E-6	181.429	175	186
40	SNF117Lb_labelled.tif	2.431E-5	170.971	160	176
41	SNF117Lb_labelled.tif	0.000	NaN	255	0
42	SNF117Lb_labelled.tif	3.194E-5	188.304	181	197
