 	Label	Area	Mean	Min	Max
1	SNF383La.tif	1.806E-5	176.077	159	188
2	SNF383La.tif	1.597E-5	182.087	174	195
3	SNF383La.tif	1.806E-5	176.038	136	193
4	SNF383La.tif	1.944E-5	165.036	148	179
5	SNF383La.tif	1.528E-5	186.909	171	205
6	SNF383La.tif	0.000	NaN	255	0
7	SNF383La.tif	2.361E-5	159.324	131	177
8	SNF383La.tif	2.222E-5	149.656	114	179
9	SNF383La.tif	2.778E-5	165.375	138	188
10	SNF383La.tif	1.736E-5	162.640	153	174
11	SNF383La.tif	1.597E-5	177.565	155	202
12	SNF383La.tif	1.597E-5	128.043	107	147
13	SNF383La.tif	0.000	NaN	255	0
14	SNF383La.tif	1.875E-5	161.519	120	193
15	SNF383La.tif	0.000	NaN	255	0
16	SNF383La.tif	1.181E-5	172.353	117	199
17	SNF383La.tif	2.639E-5	158.158	143	177
18	SNF383La.tif	1.944E-5	171.036	145	196
19	SNF383La.tif	1.806E-5	192.423	171	205
20	SNF383La.tif	2.500E-5	160.944	126	187
21	SNF383La.tif	2.639E-5	172.263	150	186
22	SNF383La.tif	0.000	NaN	255	0
23	SNF383La.tif	1.944E-5	170.179	158	183
24	SNF383La.tif	0.000	NaN	255	0
25	SNF383La.tif	2.014E-5	164.172	126	181
26	SNF383La.tif	2.014E-5	152.103	78	199
27	SNF383La.tif	1.944E-5	183.393	158	202
28	SNF383La.tif	0.000	NaN	255	0
29	SNF383La.tif	1.875E-5	171.778	142	192
30	SNF383La.tif	1.667E-5	196.792	173	209
31	SNF383La.tif	1.667E-5	170.333	153	189
32	SNF383La.tif	0.000	NaN	255	0
33	SNF383La.tif	1.806E-5	144.154	104	163
34	SNF383La.tif	2.083E-5	142.400	94	168
35	SNF383La.tif	1.667E-5	160.500	140	183
36	SNF383La.tif	0.000	NaN	255	0
37	SNF383La.tif	0.000	NaN	255	0
38	SNF383La.tif	1.736E-5	167.560	142	185
39	SNF383La.tif	1.806E-5	177.038	147	196
40	SNF383La.tif	1.944E-5	164.607	144	182
41	SNF383La.tif	2.222E-5	156.812	141	165
42	SNF383La.tif	2.014E-5	142.690	120	163
43	SNF383La.tif	0.000	NaN	255	0
44	SNF383La.tif	0.000	NaN	255	0
45	SNF383La.tif	1.667E-5	156.625	125	189
46	SNF383La.tif	1.250E-5	140.556	129	165
47	SNF383La.tif	1.875E-5	175.185	160	195
48	SNF383La.tif	1.667E-5	164.750	143	181
49	SNF383La.tif	1.667E-5	170.167	158	186
50	SNF383La.tif	1.597E-5	163.174	154	179
51	SNF383La.tif	0.000	NaN	255	0
52	SNF383La.tif	1.806E-5	177.962	162	190
53	SNF383La.tif	1.875E-5	135.148	111	160
54	SNF383La.tif	2.431E-5	154.457	131	168
55	SNF383La.tif	1.806E-5	179.615	158	194
