coreNum,year,rw,ew,lw
CT002,1925,0.561,0.448,0.114
CT002,1926,1.461,1.333,0.129
CT002,1927,1.836,1.532,0.305
CT002,1928,2.083,1.632,0.451
CT002,1929,1.706,1.57,0.135
CT002,1930,1.409,1.107,0.302
CT002,1931,1.14,0.988,0.152
CT002,1932,1.553,1.363,0.19
CT002,1933,1.249,1.155,0.094
CT002,1934,1.932,1.666,0.265
CT002,1935,1.345,1.269,0.076
CT002,1936,1.179,0.979,0.2
CT002,1937,1.843,1.663,0.181
CT002,1938,2.071,1.784,0.287
CT002,1939,2.088,1.894,0.195
CT002,1940,1.829,1.628,0.201
CT002,1941,2.439,2.192,0.247
CT002,1942,3.007,2.708,0.299
CT002,1943,2.377,2.155,0.221
CT002,1944,2.728,2.44,0.288
CT002,1945,1.869,1.763,0.106
CT002,1946,1.9,1.685,0.215
CT002,1947,2.244,1.987,0.257
CT002,1948,2.674,2.324,0.349
CT002,1949,1.868,1.628,0.24
CT002,1950,2.09,1.836,0.255
CT002,1951,1.982,1.811,0.17
CT002,1952,2.297,2.106,0.191
CT002,1953,1.644,1.51,0.134
CT002,1954,2.163,1.909,0.254
CT002,1955,1.866,1.633,0.233
CT002,1956,1.759,1.505,0.254
CT002,1957,1.124,1.04,0.084
CT002,1958,1.62,1.261,0.359
CT002,1959,1.23,1.142,0.087
CT002,1960,1.096,0.927,0.169
CT002,1961,1.272,1.018,0.254
CT002,1962,1.587,1.312,0.275
CT002,1963,0.811,0.684,0.127
CT002,1964,1.229,1.06,0.169
CT002,1965,1.482,1.207,0.275
CT002,1966,1.124,1.016,0.108
CT002,1967,2.033,1.73,0.303
CT002,1968,1.738,1.329,0.41
CT002,1969,1.931,1.496,0.436
CT002,1970,2.304,1.723,0.581
CT002,1971,2.92,2.621,0.299
CT002,1972,2.001,1.725,0.276
CT002,1973,1.656,1.462,0.194
CT002,1974,1.822,1.376,0.446
CT002,1975,2.711,2.262,0.449
CT002,1976,3.771,3.051,0.72
CT002,1977,1.736,1.376,0.36
CT002,1978,2.73,2.265,0.465
CT002,1979,1.633,1.379,0.255
CT002,1980,1.731,1.26,0.47
CT002,1981,2.011,1.587,0.424
CT002,1982,2.053,1.735,0.319
CT002,1983,1.715,1.44,0.275
